COU,Country,VAR,Variable,CO2,Country of origin,YEA,Year,Value,Flag Codes,Flags
CAN,Canada,FTDS,Foreign-trained doctors - Stock,AFG,Afghanistan,2018,2018,5,,
FRA,France,FTDS,Foreign-trained doctors - Stock,AFG,Afghanistan,2018,2018,12,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,AFG,Afghanistan,2018,2018,153,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,AFG,Afghanistan,2018,2018,0,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,AFG,Afghanistan,2018,2018,22,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,AFG,Afghanistan,2018,2018,6,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,AFG,Afghanistan,2018,2018,53,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,ALB,Albania,2018,2018,2,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,ALB,Albania,2018,2018,24,,
FRA,France,FTDS,Foreign-trained doctors - Stock,ALB,Albania,2018,2018,15,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,ALB,Albania,2018,2018,570,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,ALB,Albania,2018,2018,2,,
NZL,New Zealand,FTDS,Foreign-trained doctors - Stock,ALB,Albania,2018,2018,1,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,ALB,Albania,2018,2018,1,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,ALB,Albania,2018,2018,13,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,ALB,Albania,2018,2018,27,,
SVN,Slovenia,FTDS,Foreign-trained doctors - Stock,ALB,Albania,2018,2018,3,,
BEL,Belgium,FTDS,Foreign-trained doctors - Stock,DZA,Algeria,2018,2018,34,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,DZA,Algeria,2018,2018,107,,
FRA,France,FTDS,Foreign-trained doctors - Stock,DZA,Algeria,2018,2018,3824,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,DZA,Algeria,2018,2018,90,,
IRL,Ireland,FTDS,Foreign-trained doctors - Stock,DZA,Algeria,2018,2018,2,,
NOR,Norway,FTDS,Foreign-trained doctors - Stock,DZA,Algeria,2018,2018,6,,
CHE,Switzerland,FTDS,Foreign-trained doctors - Stock,DZA,Algeria,2018,2018,110,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,DZA,Algeria,2018,2018,39,,
ISR,Israel,FTDS,Foreign-trained doctors - Stock,DZA,Algeria,2018,2018,6,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,AND,Andorra,2018,2018,0,,
DEU,Germany,FTDS,Foreign-trained doctors - Stock,AGO,Angola,2018,2018,3,,
GBR,United Kingdom,FTDS,Foreign-trained doctors - Stock,AGO,Angola,2018,2018,1,,
CAN,Canada,FTDS,Foreign-trained doctors - Stock,ATG,Antigua and Barbuda,2018,2018,40,,
